,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
741,Online bearing fault diagnosis using numerical simulation models and machine learning classifications,"H Wang, J Zheng, J Xiang",2023,Reliability Engineering & System Safety,Elsevier,55,27.5
742,Towards data-centric graph machine learning: Review and outlook,"X Zheng, Y Liu, Z Bao, M Fang, X Hu, AWC Liew…",2023,arXiv preprint arXiv …,arxiv.org,19,9.5
743,A review of ultrasonic sensing and machine learning methods to monitor industrial processes,"AL Bowler, MP Pound, NJ Watson",2022,Ultrasonics,Elsevier,35,11.67
744,Ransomware classification and detection with machine learning algorithms,"M Masum, MJH Faruk, H Shahriar…",2022,2022 IEEE 12th …,ieeexplore.ieee.org,82,27.33
745,Voice in Parkinson's disease: a machine learning study,"A Suppa, G Costantini, F Asci, P Di Leo…",2022,Frontiers in …,frontiersin.org,56,18.67
746,Pima Indians diabetes mellitus classification based on machine learning (ML) algorithms,"V Chang, J Bailey, QA Xu, Z Sun",2023,Neural Computing and Applications,Springer,189,94.5
747,Machine learning coarse-grained potentials of protein thermodynamics,"M Majewski, A Pérez, P Thölke, S Doerr…",2023,Nature …,nature.com,45,22.5
748,Application of machine learning methods on real bridge monitoring data,"F Wedel, S Marx",2022,Engineering Structures,Elsevier,34,11.33
749,Raman spectroscopy and machine learning for the classification of breast cancers,"L Zhang, C Li, D Peng, X Yi, S He, F Liu…",2022,… Acta Part A: Molecular …,Elsevier,100,33.33
750,The role of machine learning to boost the bioenergy and biofuels conversion,"Z Wang, X Peng, A Xia, AA Shah, Y Huang, X Zhu…",2022,Bioresource …,Elsevier,112,37.33
751,Machine learning price index forecasts of flat steel products,"B Jin, X Xu",2024,Mineral Economics,Springer,5,5.0
752,Applications of machine learning in metabolomics: Disease modeling and classification,"A Galal, M Talal, A Moustafa",2022,Frontiers in genetics,frontiersin.org,66,22.0
753,Crime tracking system and people's safety in India using machine learning approaches,"VK Gupta, SK Shukla, RS Rawat",2022,International Journal of …,researchgate.net,76,25.33
754,A survey on machine learning based analysis of heterogeneous data in industrial automation,"S Kamm, SS Veekati, T Müller, N Jazdi, M Weyrich",2023,Computers in Industry,Elsevier,29,14.5
755,Application of machine learning initiatives and intelligent perspectives for CO2 emissions reduction in construction,"L Farahzadi, M Kioumarsi",2023,Journal of Cleaner Production,Elsevier,42,21.0
756,Predicting the changes in the WTI crude oil price dynamics using machine learning models,"H Guliyev, E Mustafayev",2022,Resources Policy,Elsevier,58,19.33
757,Machine learning-aided engineering of hydrolases for PET depolymerization,"H Lu, DJ Diaz, NJ Czarnecki, C Zhu, W Kim, R Shroff…",2022,Nature,nature.com,688,229.33
758,"Flash drought: Review of concept, prediction and the potential for machine learning, deep learning methods","S Tyagi, X Zhang, D Saraswat, S Sahany…",2022,Earth's …,Wiley Online Library,33,11.0
759,Navigating with chemometrics and machine learning in chemistry,PB Joshi,2023,Artificial Intelligence Review,Springer,21,10.5
760,The deep DNA machine learning model to classify the tumor genome of patients with tumor sequencing,"J Logeshwaran, N Adhikari, SS Joshi…",2022,… Journal of Health …,researchgate.net,131,43.67
761,Machine learning techniques applied to construction: A hybrid bibliometric analysis of advances and future directions,"J Garcia, G Villavicencio, F Altimiras, B Crawford…",2022,Automation in …,Elsevier,28,9.33
762,Earthquake damage and rehabilitation intervention prediction using machine learning,"KC Sajan, A Bhusal, D Gautam, R Rupakhety",2023,Engineering Failure …,Elsevier,34,17.0
763,Machine learning-based orchestration of containers: A taxonomy and future directions,"Z Zhong, M Xu, MA Rodriguez, C Xu…",2022,ACM Computing Surveys …,dl.acm.org,120,40.0
764,Machine-learning potentials for crystal defects,"R Freitas, Y Cao",2022,MRS Communications,Springer,29,9.67
765,Plant disease detection using machine learning approaches,"I Ahmed, PK Yadav",2023,Expert Systems,Wiley Online Library,58,29.0
766,"Data-driven machine learning and neural network algorithms in the retailing environment: Consumer engagement, experience, and purchase behaviors","T Kliestik, K Zvarikova, G Lăzăroiu",2022,"Economics, Management and …",ceeol.com,125,41.67
767,Machine learning-enabled globally guaranteed evolutionary computation,"B Li, Z Wei, J Wu, S Yu, T Zhang, C Zhu…",2023,Nature Machine …,nature.com,17,8.5
768,Confusion matrix: Machine learning,J Liang,2022,POGIL Activity Clearinghouse,pac.pogil.org,71,23.67
769,Artificial Intelligence and Machine Learning in CRM: Leveraging Data for Predictive Analytics,"RT Potla, VK Pottla",2024,Journal of Artificial Intelligence …,thesciencebrigade.com,8,8.0
770,Review on alzheimer disease detection methods: Automatic pipelines and machine learning techniques,"A Shukla, R Tiwari, S Tiwari",2023,Sci,mdpi.com,38,19.0
771,Machine learning with data assimilation and uncertainty quantification for dynamical systems: a review,"S Cheng, C Quilodrán-Casas, S Ouala…",2023,IEEE/CAA Journal of …,ieeexplore.ieee.org,109,54.5
772,"Machine learning in solid heterogeneous catalysis: Recent developments, challenges and perspectives","Y Guan, D Chaffart, G Liu, Z Tan, D Zhang…",2022,Chemical Engineering …,Elsevier,82,27.33
773,Remote estimates of suspended particulate matter in global lakes using machine learning models,"Z Wen, Q Wang, Y Ma, PA Jacinthe, G Liu, S Li…",2024,International Soil and …,Elsevier,51,51.0
774,A hybrid machine learning model for intrusion detection in VANET,"H Bangui, M Ge, B Buhnova",2022,Computing,Springer,87,29.0
775,Using econometric and machine learning models to forecast crude oil prices: Insights from economic history,"Z Xu, M Mohsin, K Ullah, X Ma",2023,Resources Policy,Elsevier,56,28.0
776,Predicting lattice thermal conductivity via machine learning: a mini review,"Y Luo, M Li, H Yuan, H Liu, Y Fang",2023,NPJ Computational Materials,nature.com,39,19.5
777,Optimization and machine learning applied to last-mile logistics: A review,"N Giuffrida, J Fajardo-Calderin, AD Masegosa…",2022,Sustainability,mdpi.com,56,18.67
778,Using supervised machine learning for large‐scale classification in management research: The case for identifying artificial intelligence patents,"M Miric, N Jia, KG Huang",2023,Strategic Management Journal,Wiley Online Library,69,34.5
779,An intelligent iot enabled health care surveillance using machine learning,"S Ahamed, P Bhatt, SJ Sultanuddin…",2022,… on Advances in …,ieeexplore.ieee.org,72,24.0
780,A review of evaluation metrics in machine learning algorithms,"G Naidu, T Zuva, EM Sibanda",2023,Computer Science On-line Conference,Springer,59,29.5
781,"A review of machine learning methods for drought hazard monitoring and forecasting: Current research trends, challenges, and future research directions","FA Prodhan, J Zhang, SS Hasan, TPP Sharma…",2022,… modelling & software,Elsevier,102,34.0
782,"Review of machine learning for hydrodynamics, transport, and reactions in multiphase flows and reactors","LT Zhu, XZ Chen, B Ouyang, WC Yan…",2022,Industrial & …,ACS Publications,110,36.67
783,Machine learning for auto-segmentation in radiotherapy planning,"K Harrison, H Pullen, C Welsh, O Oktay, J Alvarez-Valle…",2022,Clinical Oncology,Elsevier,77,25.67
784,Machine learning technique to prognosis diabetes disease: Random forest classifier approach,"P Palimkar, RN Shaw, A Ghosh",2022,Advanced computing and intelligent …,Springer,159,53.0
785,Intelligent control of nanoparticle synthesis on microfluidic chips with machine learning,"X Chen, H Lv",2022,NPG Asia Materials,nature.com,51,17.0
786,NMLA: The Smart Detection of Motor Neuron Disease and Analyze the Health Impacts with Neuro Machine Learning Model,"G Sekar, C Sivakumar, J Logeshwaran",2022,NeuroQuantology,researchgate.net,130,43.33
787,SNIB: improving spike-based machine learning using nonlinear information bottleneck,"S Yang, B Chen",2023,"IEEE Transactions on Systems, Man, and …",ieeexplore.ieee.org,55,27.5
788,"Computer vision and machine learning for medical image analysis: recent advances, challenges, and way forward","E Elyan, P Vuttipittayamongkol, P Johnston…",2022,Artificial Intelligence …,oaepublish.com,98,32.67
789,Machine-learning-assisted design of highly tough thermosetting polymers,"Y Hu, W Zhao, L Wang, J Lin, L Du",2022,ACS Applied Materials & …,ACS Publications,29,9.67
790,Generative machine learning for de novo drug discovery: A systematic review,DD Martinelli,2022,Computers in Biology and Medicine,Elsevier,86,28.67
791,Machine learning-based lung and colon cancer detection using deep feature extraction and ensemble learning,"MA Talukder, MM Islam, MA Uddin, A Akhter…",2022,Expert Systems with …,Elsevier,158,52.67
792,A review on artificial intelligence and machine learning to improve cancer management and drug discovery,"R Kumar, P Saha",2022,International Journal for Research in Applied …,ijrasb.com,93,31.0
793,Hematology and machine learning,AE Obstfeld,2023,The Journal of Applied Laboratory Medicine,academic.oup.com,15,7.5
794,Food quality inspection and grading using efficient image segmentation and machine learning‐based system,"V Hemamalini, S Rajarajeswari…",2022,Journal of Food …,Wiley Online Library,96,32.0
795,Enabling fairness in healthcare through machine learning,"T Grote, G Keeling",2022,Ethics and Information Technology,Springer,24,8.0
796,Conventional machine learning and deep learning in Alzheimer's disease diagnosis using neuroimaging: A review,"Z Zhao, JH Chuah, KW Lai, CO Chow…",2023,Frontiers in …,frontiersin.org,51,25.5
797,A hybrid machine learning model for timely prediction of breast cancer,"S Dalal, EM Onyema, P Kumar…",2023,… Journal of Modeling …,World Scientific,59,29.5
798,Analysis of community question‐answering issues via machine learning and deep learning: State‐of‐the‐art review,"PK Roy, S Saumya, JP Singh…",2023,CAAI Transactions on …,Wiley Online Library,83,41.5
799,Prediction of Sepsis Mortality in ICU patients using machine learning methods,"J Gao, Y Lu, N Ashrafi, I Domingo, K Alaei…",2024,BMC Medical Informatics …,Springer,8,8.0
800,Developing a novel tool for assessing the groundwater incorporating water quality index and machine learning approach,"AM Sajib, MTM Diganta, A Rahman…",2023,Groundwater for …,Elsevier,32,16.0
801,Current application status of multi-scale simulation and machine learning in research on high-entropy alloys,"D Jiang, L Xie, L Wang",2023,Journal of Materials Research and Technology,Elsevier,22,11.0
802,Co-evolution of machine learning and digital technologies to improve monitoring of Parkinson's disease motor symptoms,"AS Chandrabhatla, IJ Pomeraniec…",2022,NPJ digital …,nature.com,65,21.67
803,A novel decision support system for managing predictive maintenance strategies based on machine learning approaches,"S Arena, E Florian, I Zennaro, PF Orrù, F Sgarbossa",2022,Safety science,Elsevier,116,38.67
804,Load forecasting with machine learning and deep learning methods,"M Cordeiro-Costas, D Villanueva, P Eguía-Oller…",2023,Applied Sciences,mdpi.com,39,19.5
805,A comparative study on the most effective machine learning model for blast loading prediction: From GBDT to Transformer,"Q Li, Y Wang, Y Shao, L Li, H Hao",2023,Engineering Structures,Elsevier,34,17.0
806,An ensemble method of the machine learning to prognosticate the gastric cancer,"H Baradaran Rezaei, A Amjadian, MV Sebt…",2023,Annals of Operations …,Springer,39,19.5
807,The personal health applications of machine learning techniques in the internet of behaviors,"Z Amiri, A Heidari, M Darbandi, Y Yazdani…",2023,Sustainability,mdpi.com,44,22.0
808,Crime prediction using machine learning and deep learning: A systematic review and future directions,"V Mandalapu, L Elluri, P Vyas, N Roy",2023,IEEE Access,ieeexplore.ieee.org,42,21.0
809,Evaluation of machine learning methods application in temperature prediction,"B Azari, K Hassan, J Pierce, S Ebrahimi",2022,Environ Eng,crpase.procedia.org,35,11.67
810,Machine learning techniques for IoT security: Current research and future vision with generative AI and large language models,"F Alwahedi, A Aldhaheri, MA Ferrag, A Battah…",2024,Internet of Things and …,Elsevier,83,83.0
811,Forecasting credit ratings of decarbonized firms: Comparative assessment of machine learning models,"B Yu, C Li, N Mirza, M Umar",2022,Technological Forecasting and Social …,Elsevier,109,36.33
812,Overview on intrusion detection systems design exploiting machine learning for networking cybersecurity,"P Dini, A Elhanashi, A Begni, S Saponara, Q Zheng…",2023,Applied Sciences,mdpi.com,41,20.5
813,Fatigue life prediction of aluminum alloy via knowledge-based machine learning,"Z Lian, M Li, W Lu",2022,International Journal of Fatigue,Elsevier,64,21.33
814,Experimental evaluation of quantum machine learning algorithms,"RDM Simões, P Huber, N Meier, N Smailov…",2023,IEEE …,ieeexplore.ieee.org,25,12.5
815,Studying up machine learning data: Why talk about bias when we mean power?,"M Miceli, J Posada, T Yang",2022,Proceedings of the ACM on Human …,dl.acm.org,138,46.0
816,Tight auditing of differentially private machine learning,"M Nasr, J Hayes, T Steinke, B Balle, F Tramèr…",2023,32nd USENIX Security …,usenix.org,55,27.5
817,Exploring drug sentiment analysis with machine learning techniques,"D Rathod, K Patel, AJ Goswami…",2023,2023 International …,ieeexplore.ieee.org,26,13.0
818,Machine learning study of the magnetic ordering in 2D materials,"CM Acosta, E Ogoshi, JA Souza…",2022,ACS Applied Materials & …,ACS Publications,48,16.0
819,"Landslide identification using machine learning techniques: Review, motivation, and future prospects","VC SS, E Shaji",2022,Earth science informatics,Springer,32,10.67
820,A survey on machine learning for recurring concept drifting data streams,"AL Suárez-Cetrulo, D Quintana, A Cervantes",2023,Expert Systems with …,Elsevier,62,31.0
821,Modeling energy-efficient building loads using machine-learning algorithms for the design phase,"FE Sapnken, MM Hamed, B Soldo, JG Tamba",2023,Energy and Buildings,Elsevier,30,15.0
822,An overview of machine learning techniques in constraint solving,"A Popescu, S Polat-Erdeniz, A Felfernig, M Uta…",2022,Journal of Intelligent …,Springer,38,12.67
823,Compressive strength of concrete material using machine learning techniques,"S Paudel, A Pudasaini, RK Shrestha…",2023,Cleaner Engineering and …,Elsevier,34,17.0
824,Prevalence and early prediction of diabetes using machine learning in North Kashmir: a case study of district bandipora,"SS Bhat, V Selvam, GA Ansari…",2022,Computational …,Wiley Online Library,70,23.33
825,SmartHealth: An intelligent framework to secure IoMT service applications using machine learning,"S Rani, S Kumar, A Kataria, H Min",2024,ICT Express,Elsevier,65,65.0
826,Personalized adaptive learning technologies based on machine learning techniques to identify learning styles: A systematic literature review,"SG Essa, T Celik, NE Human-Hendricks",2023,IEEE Access,ieeexplore.ieee.org,43,21.5
827,Human–machine interaction via dual modes of voice and gesture enabled by triboelectric nanogenerator and machine learning,"H Luo, J Du, P Yang, Y Shi, Z Liu, D Yang…",2023,… Applied Materials & …,ACS Publications,34,17.0
828,Superior printed parts using history and augmented machine learning,"M Jiang, T Mukherjee, Y Du, T DebRoy",2022,npj Computational Materials,nature.com,23,7.67
829,Application of machine learning modeling in prediction of solar still performance: A comprehensive survey,"AS Abdullah, A Joseph, AW Kandeal, WH Alawee…",2024,Results in …,Elsevier,24,24.0
830,"Less annotating, more classifying: Addressing the data scarcity issue of supervised machine learning with deep transfer learning and BERT-NLI","M Laurer, W Van Atteveldt, A Casas, K Welbers",2024,Political Analysis,cambridge.org,116,116.0
831,Machine learning algorithms reveal potential miRNAs biomarkers in gastric cancer,"H Azari, E Nazari, R Mohit, A Asadnia, M Maftooh…",2023,Scientific Reports,nature.com,19,9.5
832,"Predicting students' performance employing educational data mining techniques, machine learning, and learning analytics","A Alam, A Mohanty",2022,International Conference on Communication …,Springer,116,38.67
833,Application of machine learning for cardiovascular disease risk prediction,"S Dalal, P Goel, EM Onyema, A Alharbi…",2023,Computational …,Wiley Online Library,49,24.5
834,Machine learning in continuous casting of steel: A state-of-the-art survey,"D Cemernek, S Cemernek, H Gursch…",2022,Journal of Intelligent …,Springer,65,21.67
835,Chemical geodynamics insights from a machine learning approach,"A Stracke, M Willig, F Genske…",2022,Geochemistry …,Wiley Online Library,22,7.33
836,Machine learning toxicity prediction: latest advances by toxicity end point,"CN Cavasotto, V Scardino",2022,ACS omega,ACS Publications,57,19.0
837,Interpretable and explainable machine learning: a methods‐centric overview with concrete examples,"R Marcinkevičs, JE Vogt",2023,Wiley Interdisciplinary Reviews: Data …,Wiley Online Library,55,27.5
838,"Using machine learning models for predicting the water quality index in the La Buong River, Vietnam","DN Khoi, NT Quan, DQ Linh, PTT Nhi, NTD Thuy",2022,Water,mdpi.com,91,30.33
839,Exploring machine learning in chemistry through the classification of spectra: An undergraduate project,"AG St James, L Hand, T Mills, L Song…",2023,Journal of Chemical …,ACS Publications,15,7.5
840,Machine learning for DDoS attack detection in industry 4.0 CPPSs,"FB Saghezchi, G Mantas, MA Violas…",2022,Electronics,mdpi.com,53,17.67
841,Machine Learning Q and AI: 30 Essential Questions and Answers on Machine Learning and AI,S Raschka,2024,,books.google.com,30,30.0
842,Leveraging feature bias for scalable misprediction explanation of machine learning models,"J Gesi, X Shen, Y Geng, Q Chen…",2023,2023 IEEE/ACM 45th …,ieeexplore.ieee.org,20,10.0
843,Evolution of machine learning in tuberculosis diagnosis: a review of deep learning-based medical applications,"M Singh, GV Pujar, SA Kumar, M Bhagyalalitha…",2022,Electronics,mdpi.com,47,15.67
844,Dementia detection from speech using machine learning and deep learning architectures,"MR Kumar, S Vekkot, S Lalitha, D Gupta, VJ Govindraj…",2022,Sensors,mdpi.com,40,13.33
845,Machine‐Learning‐Assisted Determination of the Global Zero‐Temperature Phase Diagram of Materials,"J Schmidt, N Hoffmann, HC Wang, P Borlido…",2023,Advanced …,Wiley Online Library,30,15.0
846,"Transparency, auditability, and explainability of machine learning models in credit scoring","M Bücker, G Szepannek, A Gosiewska…",2022,Journal of the …,Taylor & Francis,113,37.67
847,Testimonial injustice in medical machine learning,G Pozzi,2023,Journal of medical ethics,jme.bmj.com,24,12.0
848,An insight into diagnosis of depression using machine learning techniques: a systematic review,"S Bhadra, CJ Kumar",2022,Current medical research and opinion,Taylor & Francis,42,14.0
849,Mobile edge computing and machine learning in the internet of unmanned aerial vehicles: a survey,"Z Ning, H Hu, X Wang, L Guo, S Guo, G Wang…",2023,ACM Computing …,dl.acm.org,47,23.5
850,Forest fire detection system using wireless sensor networks and machine learning,"U Dampage, L Bandaranayake, R Wanasinghe…",2022,Scientific reports,nature.com,152,50.67
851,A human resources analytics and machine-learning examination of turnover: implications for theory and practice,"D Avrahami, D Pessach, G Singer…",2022,International Journal of …,emerald.com,47,15.67
852,Machine-learning rationalization and prediction of solid-state synthesis conditions,"H Huo, CJ Bartel, T He, A Trewartha, A Dunn…",2022,Chemistry of …,ACS Publications,44,14.67
853,The cross-evaluation of machine learning-based network intrusion detection systems,"G Apruzzese, L Pajola, M Conti",2022,IEEE Transactions on Network …,ieeexplore.ieee.org,65,21.67
854,Feature selection and feature learning in machine learning applications for gas turbines: A review,"J Xie, M Sage, YF Zhao",2023,Engineering Applications of Artificial Intelligence,Elsevier,49,24.5
855,Physical interpretation of machine learning-based recognition of defects for the risk management of existing bridge heritage,"A Cardellicchio, S Ruggieri, A Nettis, V Renò…",2023,Engineering Failure …,Elsevier,60,30.0
856,A data-driven approach for intrusion and anomaly detection using automated machine learning for the Internet of Things,"H Xu, Z Sun, Y Cao, H Bilal",2023,Soft Computing,Springer,126,63.0
857,Machine learning-powered encrypted network traffic analysis: A comprehensive survey,"M Shen, K Ye, X Liu, L Zhu, J Kang…",2022,… Surveys & Tutorials,ieeexplore.ieee.org,72,24.0
858,Towards model generalization for intrusion detection: Unsupervised machine learning techniques,"M Verkerken, L D'hooge, T Wauters, B Volckaert…",2022,Journal of Network and …,Springer,79,26.33
859,An inception V3 approach for malware classification using machine learning and transfer learning,"M Ahmed, N Afreen, M Ahmed, M Sameer…",2023,International Journal of …,Elsevier,58,29.0
860,A comparative performance of machine learning algorithm to predict electric vehicles energy consumption: A path towards sustainability,"I Ullah, K Liu, T Yamamoto…",2022,Energy & …,journals.sagepub.com,102,34.0
861,Comparative analysis of machine learning methods for active flow control,"F Pino, L Schena, J Rabault…",2023,Journal of Fluid …,cambridge.org,48,24.0
862,Machine learning-based method for predicting compressive strength of concrete,"D Li, Z Tang, Q Kang, X Zhang, Y Li",2023,Processes,mdpi.com,39,19.5
863,Machine learning based automatic vehicle alert system,"E Sudarshan, DA Kumari, YCA Reddy…",2022,AIP Conference …,pubs.aip.org,40,13.33
864,A machine learning-combined flexible sensor for tactile detection and voice recognition,"J Xie, Y Zhao, D Zhu, J Yan, J Li, M Qiao…",2023,… Applied Materials & …,ACS Publications,33,16.5
865,A comprehensive review of approaches to detect fatigue using machine learning techniques,"R Hooda, V Joshi, M Shah",2022,Chronic Diseases and …,Wiley Online Library,45,15.0
866,Artificial intelligence and machine learning: an introduction for orthopaedic surgeons,"RK Martin, C Ley, A Pareek, A Groll…",2022,"Knee surgery, sports …",Wiley Online Library,49,16.33
867,Comparison of land use land cover classifiers using different satellite imagery and machine learning techniques,"S Basheer, X Wang, AA Farooque, RA Nawaz, K Liu…",2022,Remote Sensing,mdpi.com,109,36.33
868,A machine learning approach for energy-efficient intelligent transportation scheduling problem in a real-world dynamic circumstances,"J Mou, K Gao, P Duan, J Li, A Garg…",2022,IEEE transactions on …,ieeexplore.ieee.org,112,37.33
869,"Fruit quality evaluation using machine learning techniques: review, motivation and future perspectives","B Dhiman, Y Kumar, M Kumar",2022,Multimedia Tools and Applications,Springer,41,13.67
870,LGBM: a machine learning approach for Ethereum fraud detection,"RM Aziz, MF Baluch, S Patel, AH Ganie",2022,International Journal of …,Springer,99,33.0
871,"Statistical, machine learning and deep learning forecasting methods: Comparisons and ways forward","S Makridakis, E Spiliotis…",2023,Journal of the …,Taylor & Francis,58,29.0
872,Implementation of machine learning classification techniques for intrusion detection system,"P William, VNR Inukollu, V Ramasamy…",2023,2023 4th …,ieeexplore.ieee.org,28,14.0
873,Implementation of The Future of Drug Discovery: QuantumBased Machine Learning Simulation (QMLS),"Y Zhou, YK Wong, YS Liang, H Qiu, YX Wu…",2023,arXiv preprint arXiv …,arxiv.org,13,6.5
874,Option return predictability with machine learning and big data,"TG Bali, H Beckmeyer, M Moerke…",2023,The Review of Financial …,academic.oup.com,101,50.5
875,"Applications of machine learning in friction stir welding: Prediction of joint properties, real-time control and tool failure diagnosis",AH Elsheikh,2023,Engineering Applications of Artificial Intelligence,Elsevier,116,58.0
876,Towards understanding fairness and its composition in ensemble machine learning,"U Gohar, S Biswas, H Rajan",2023,2023 IEEE/ACM 45th …,ieeexplore.ieee.org,24,12.0
877,Generalizability of machine learning models: quantitative evaluation of three methodological pitfalls,"F Maleki, K Ovens, R Gupta, C Reinhold…",2022,Radiology: Artificial …,pubs.rsna.org,45,15.0
878,A systematic review of applications of machine learning techniques for wildfire management decision support,"K Bot, JG Borges",2022,Inventions,mdpi.com,67,22.33
879,Predicting financial crises with machine learning methods,"L Liu, C Chen, B Wang",2022,Journal of Forecasting,Wiley Online Library,31,10.33
880,A systematic review on recent advancements in deep and machine learning based detection and classification of acute lymphoblastic leukemia,"PK Das, VA Diya, S Meher, R Panda, A Abraham",2022,IEEE access,ieeexplore.ieee.org,92,30.67
881,Educational data mining: prediction of students' academic performance using machine learning algorithms,M Yağcı,2022,Smart Learning Environments,Springer,352,117.33
882,Prediction of groundwater quality indices using machine learning algorithms,"H Raheja, A Goel, M Pal",2022,Water Practice & Technology,iwaponline.com,58,19.33
883,SuperPred 3.0: drug classification and target prediction—a machine learning approach,"K Gallo, A Goede, R Preissner…",2022,Nucleic Acids …,academic.oup.com,88,29.33
884,A review of machine learning and satellite imagery for poverty prediction: Implications for development research and applications,"O Hall, F Dompae, I Wahab…",2023,Journal of International …,Wiley Online Library,23,11.5
885,Machine-learning exploration of polymer compatibility,"Z Liang, Z Li, S Zhou, Y Sun, J Yuan…",2022,Cell Reports Physical …,cell.com,23,7.67
886,Machine learning based model for prediction of loan approval,"BP Lohani, M Trivedi, RJ Singh, V Bibhu…",2022,2022 3rd …,ieeexplore.ieee.org,46,15.33
887,Application of machine learning techniques to the analysis and prediction of drug pharmacokinetics,"R Ota, F Yamashita",2022,Journal of Controlled Release,Elsevier,24,8.0
888,Application of innovative machine learning techniques for long-term rainfall prediction,"S Markuna, P Kumar, R Ali, DK Vishwkarma…",2023,Pure and Applied …,Springer,38,19.0
889,Blindfl: Vertical federated machine learning without peeking into your data,"F Fu, H Xue, Y Cheng, Y Tao, B Cui",2022,Proceedings of the 2022 …,dl.acm.org,51,17.0
890,Artificial intelligence and machine learning applications in biopharmaceutical manufacturing,"AS Rathore, S Nikita, G Thakur, S Mishra",2023,Trends in Biotechnology,cell.com,50,25.0
891,"Safety, security and privacy in machine learning based internet of things","G Abbas, A Mehmood, M Carsten…",2022,Journal of Sensor and …,mdpi.com,51,17.0
892,Application of machine learning-based k-means clustering for financial fraud detection,"Z Huang, H Zheng, C Li, C Che",2024,Academic Journal of Science and …,drpress.org,64,64.0
893,High-dimensional role of AI and machine learning in cancer research,E Capobianco,2022,British journal of cancer,nature.com,39,13.0
894,Machine learning methods applied to triage in emergency services: A systematic review,"R Sánchez-Salmerón, JL Gómez-Urquiza…",2022,International Emergency …,Elsevier,68,22.67
895,FDA-cleared artificial intelligence and machine learning-based medical devices and their 510 (k) predicate networks,"UJ Muehlematter, C Bluethgen…",2023,The Lancet Digital …,thelancet.com,32,16.0
896,A survey on multimodal bidirectional machine learning translation of image and natural language processing,"W Nam, B Jang",2024,Expert Systems with Applications,Elsevier,13,13.0
897,How does the model make predictions? A systematic literature review on the explainability power of machine learning in healthcare,"J Allgaier, L Mulansky, RL Draelos, R Pryss",2023,Artificial Intelligence in …,Elsevier,45,22.5
898,Machine learning-based diagnosis of breast cancer utilizing feature optimization technique,"KMM Uddin, N Biswas, ST Rikta, SK Dey",2023,Computer Methods and …,Elsevier,45,22.5
899,Comparative analysis of predictive machine learning algorithms for diabetes mellitus,"K Kangra, J Singh",2023,Bulletin of Electrical Engineering and Informatics,beei.org,34,17.0
900,A comprehensive review of artificial intelligence and machine learning applications in energy sector,A Raihan,2023,Journal of Technology Innovations and Energy,researchgate.net,35,17.5
901,Cardiovascular complications in a diabetes prediction model using machine learning: a systematic review,"OT Kee, H Harun, N Mustafa, NA Abdul Murad…",2023,Cardiovascular …,Springer,38,19.0
902,Integrating machine learning and model predictive control for automotive applications: A review and future directions,"A Norouzi, H Heidarifar, H Borhan…",2023,… Applications of Artificial …,Elsevier,44,22.0
903,Personalized antibiograms for machine learning driven antibiotic selection,"CK Corbin, L Sung, A Chattopadhyay…",2022,Communications …,nature.com,34,11.33
904,Machine learning based quantitative damage monitoring of composite structure,"X Qing, Y Liao, Y Wang, B Chen, F Zhang…",2022,International journal of …,Taylor & Francis,46,15.33
905,Machine learning-assisted low-dimensional electrocatalysts design for hydrogen evolution reaction,"J Li, N Wu, J Zhang, HH Wu, K Pan, Y Wang, G Liu…",2023,Nano-Micro Letters,Springer,36,18.0
906,An adversarial training framework for mitigating algorithmic biases in clinical machine learning,"J Yang, AAS Soltan, DW Eyre, Y Yang…",2023,NPJ digital medicine,nature.com,44,22.0
907,Bubble identification from images with machine learning methods,"H Hessenkemper, S Starke, Y Atassi…",2022,International Journal of …,Elsevier,41,13.67
908,Prediction of anticancer peptides based on an ensemble model of deep learning and machine learning using ordinal positional encoding,"Q Yuan, K Chen, Y Yu, NQK Le…",2023,Briefings in …,academic.oup.com,67,33.5
909,Supervised machine learning models for liver disease risk prediction,"E Dritsas, M Trigka",2023,Computers,mdpi.com,52,26.0
910,Spam detection using bidirectional transformers and machine learning classifier algorithms,"Y Guo, Z Mustafaoglu…",2023,journal of Computational …,ojs.bonviewpress.com,154,77.0
911,Comparison of machine learning methods for photovoltaic power forecasting based on numerical weather prediction,"D Markovics, MJ Mayer",2022,Renewable and Sustainable Energy Reviews,Elsevier,215,71.67
912,Machine learning for cutting planes in integer programming: A survey,"A Deza, EB Khalil",2023,arXiv preprint arXiv:2302.09166,arxiv.org,22,11.0
913,Emerging trends in machine learning to predict crop yield and study its influential factors: A survey,"N Bali, A Singla",2022,Archives of computational methods in engineering,Springer,107,35.67
914,Evaluation of geopolymer concrete at high temperatures: An experimental study using machine learning,"M Rahmati, V Toufigh",2022,Journal of Cleaner Production,Elsevier,54,18.0
915,Evaluating compressive strength of concrete made with recycled concrete aggregates using machine learning approach,"VQ Tran, VQ Dang, LS Ho",2022,Construction and Building Materials,Elsevier,194,64.67
916,A concise review on recent developments of machine learning for the prediction of vibrational spectra,"R Han, R Ketkaew, S Luber",2022,The Journal of Physical Chemistry A,ACS Publications,37,12.33
917,Impact of feature scaling on machine learning models for the diagnosis of diabetes,"DU Ozsahin, MT Mustapha, AS Mubarak…",2022,… in Everything (AIE),ieeexplore.ieee.org,58,19.33
